CLC;Description;Rating;Class;Class_name;
1;Continuous urban fabric;6;2;Man-Made;
2;Discontinuous urban fabric;5;2;Man-Made;
3;Industrial or commercial units;4;2;Man-Made;
4;Road and rail networks and associated land;4;2;Man-Made;
5;Port areas;4;2;Man-Made;
6;Airports;3;2;Man-Made;
7;Mineral extraction sites;2;2;Man-Made;
8;Dump sites;2;2;Man-Made;
9;Construction sites;2;2;Man-Made;
10;Green urban areas;6;2;Man-Made;
11;Sport and leisure facilities;6;2;Man-Made;
12;Non-irrigated arable land;7;3;Agriculture;
13;Permanently irrigated land;7;3;Agriculture;
14;Rice fields;7;3;Agriculture;
15;Vineyards;7;3;Agriculture;
16;Fruit trees and berry plantations;7;3;Agriculture;
17;Olive groves;7;3;Agriculture;
18;Pastures;7;3;Agriculture;
19;Annual crops associated with permanent crops;7;3;Agriculture;
20;Complex cultivation patterns;7;3;Agriculture;
21;Land principally occupied by agriculture;7;3;Agriculture;
22;Agro-forestry areas;8;4;Forest;
23;Broad-leaved forest;8;4;Forest;
24;Coniferous forest;8;4;Forest;
25;Mixed forest;8;4;Forest;
26;Natural grasslands;7;3;Agriculture;
27;Moors and heathland;8;4;Forest;
28;Sclerophyllous vegetation;8;4;Forest;
29;Transitional woodland-shrub;8;4;Forest;
30;Beaches;5;2;Man-Made;
31;Bare rocks;9;5;HVN;
32;Sparsely vegetated areas;5;1;Wasteland;
33;Burnt areas;4;1;Wasteland;
34;Glaciers and perpetual snow;10;5;HVN;
35;Inland marshes;9;5;HVN;
36;Peat bogs;9;5;HVN;
37;Salt marshes;9;5;HVN;
38;Salines;9;5;HVN;
39;Intertidal flats;9;5;HVN;
40;Water courses;9;5;HVN;
41;Water bodies;10;5;HVN;
42;Coastal lagoons;10;5;HVN;
43;Estuaries;10;5;HVN;
44;Sea and ocean;10;5;HVN;
